cycle,stability,wrap_integrity,anchor_fit,openness,pulse_lock,continuity,truth,min_shell,med_shell,high_shell,rupture
1,0.7074,0.59934,0.4862,0.9862,0.67054,0.99938,0.2297,0.41686,0.68821,0.56399,False
2,0.70161,0.59747,0.4909,0.9909,0.75015,0.9994,0.20165,0.42555,0.67817,0.55755,False
3,0.68603,0.58382,0.49525,0.99525,0.80888,0.99943,0.1454,0.41623,0.65678,0.5413,False
4,0.68135,0.58277,0.5008,0.9992,0.87733,0.99929,0.12217,0.42455,0.64842,0.53654,False
5,0.6894,0.59523,0.50621,0.99379,0.93485,0.99973,0.14613,0.45134,0.65681,0.54469,False
6,0.6928,0.60236,0.51003,0.98997,0.99149,0.99994,0.15506,0.47066,0.6595,0.54772,False
7,0.69317,0.60251,0.51066,0.98934,0.98448,0.99993,0.15711,0.47001,0.66015,0.54842,False
8,0.69142,0.59643,0.51185,0.98815,0.89735,0.9998,0.15872,0.44932,0.66045,0.54896,False
9,0.72224,0.6265,0.51409,0.98591,0.81755,0.99939,0.26035,0.47577,0.7004,0.58352,False
10,0.71379,0.61485,0.50937,0.99063,0.78283,0.99903,0.23399,0.45382,0.69092,0.57456,False
11,0.6915,0.58828,0.51386,0.98614,0.7261,0.99948,0.17243,0.41328,0.66532,0.55363,False
12,0.70246,0.59778,0.52082,0.97918,0.65664,0.9998,0.21519,0.41724,0.6808,0.56816,False
13,0.67344,0.56288,0.52011,0.97989,0.594,0.99963,0.13048,0.36325,0.64703,0.53936,False
14,0.6597,0.54282,0.51551,0.98449,0.5071,0.99935,0.09153,0.32262,0.63251,0.52612,False
15,0.64413,0.52177,0.51597,0.98403,0.42554,0.99942,0.04978,0.28357,0.61572,0.51192,False
16,0.62593,0.50089,0.52442,0.97558,0.37836,0.99942,0.00321,0.25336,0.59498,0.49609,False
17,0.64716,0.52258,0.52196,0.97804,0.35446,0.99891,0.06857,0.27606,0.62155,0.51831,False
18,0.66491,0.53932,0.52452,0.97548,0.29378,0.99887,0.12881,0.28877,0.645,0.5388,False
19,0.66663,0.5369,0.53155,0.96845,0.1873,0.99907,0.14603,0.272,0.6502,0.54465,False
20,0.63982,0.49789,0.52029,0.97971,0.03378,0.99993,0.06607,0.19426,0.62133,0.51746,False
21,0.62688,0.48348,0.52446,0.97554,0.01446,0.99983,0.0308,0.17481,0.60615,0.50547,False
22,0.64638,0.50931,0.5248,0.9752,0.10234,0.99961,0.08481,0.22119,0.62759,0.52384,False
23,0.64572,0.51139,0.51981,0.98019,0.17501,0.99981,0.07415,0.23306,0.62464,0.52021,False
24,0.6732,0.54597,0.52,0.98,0.26345,0.99942,0.15259,0.29053,0.65583,0.54688,False
25,0.6883,0.56572,0.51828,0.98172,0.33338,0.99937,0.19282,0.3256,0.67234,0.56056,False
26,0.69512,0.5775,0.51907,0.98093,0.41724,0.99944,0.20837,0.3538,0.67838,0.56585,False
27,0.69278,0.58182,0.5221,0.9779,0.54373,0.99944,0.19461,0.38014,0.67212,0.56117,False
28,0.68773,0.58381,0.52473,0.97527,0.68306,0.99921,0.17161,0.40541,0.66219,0.55335,False
29,0.68709,0.58677,0.52727,0.97273,0.74949,0.99963,0.16642,0.42044,0.65963,0.55158,False
30,0.67921,0.58243,0.53097,0.96903,0.82122,0.99943,0.14015,0.42766,0.64812,0.54265,False
31,0.67335,0.58018,0.53422,0.96578,0.89179,0.99917,0.11986,0.43715,0.6391,0.53575,False
32,0.67026,0.58012,0.53891,0.96109,0.94491,0.9997,0.10951,0.44718,0.63397,0.53223,False
33,0.66294,0.57467,0.54077,0.95923,0.99003,0.99988,0.08514,0.44805,0.62382,0.52395,False
34,0.6949,0.61047,0.54844,0.95156,0.98332,0.99979,0.18867,0.49526,0.66329,0.55915,False
35,0.6702,0.57872,0.54746,0.95254,0.89143,0.99976,0.11884,0.44057,0.63558,0.5354,False
36,0.67846,0.58425,0.54958,0.95042,0.81459,0.99954,0.15104,0.43649,0.64786,0.54635,False
37,0.6806,0.58427,0.5505,0.9495,0.76484,0.99938,0.1618,0.42917,0.65188,0.55001,False
38,0.68296,0.58502,0.55473,0.94527,0.71612,0.99957,0.1751,0.42424,0.65621,0.55453,False
39,0.65433,0.55144,0.55212,0.94788,0.67789,0.99947,0.08848,0.37493,0.62218,0.52508,False
40,0.66767,0.56253,0.56015,0.93985,0.58511,0.99983,0.14084,0.3777,0.64124,0.54288,False
41,0.62559,0.51259,0.55618,0.94382,0.51654,0.99948,0.01451,0.30252,0.59158,0.49993,False
42,0.62617,0.50916,0.55718,0.94282,0.4338,0.99969,0.02246,0.28571,0.59458,0.50264,False
43,0.6401,0.52296,0.55438,0.94562,0.41259,0.99922,0.06504,0.29873,0.61215,0.51711,False
44,0.65465,0.53706,0.55222,0.94778,0.38195,0.99874,0.1106,0.31092,0.63074,0.5326,False
45,0.67073,0.55055,0.54726,0.95274,0.31873,0.99902,0.16042,0.31605,0.65201,0.54954,False
46,0.67147,0.54554,0.54905,0.95095,0.19922,0.99937,0.17179,0.29182,0.65624,0.55341,False
47,0.66924,0.53522,0.54566,0.95434,0.0547,0.99958,0.1724,0.25495,0.6574,0.55362,False
48,0.62836,0.48929,0.55331,0.94669,0.0059,0.99994,0.0557,0.19253,0.60893,0.51394,False
49,0.61847,0.48295,0.55416,0.94584,0.08905,0.99942,0.02083,0.19788,0.59459,0.50208,False
50,0.64748,0.5207,0.56167,0.93833,0.18424,0.99909,0.10847,0.26337,0.62765,0.53188,False
51,0.65042,0.52633,0.55877,0.94123,0.24337,0.99947,0.11101,0.27843,0.62953,0.53274,False
52,0.6589,0.53869,0.55836,0.94164,0.30641,0.99953,0.13226,0.30363,0.63815,0.53997,False
53,0.68608,0.57488,0.55778,0.94222,0.43367,0.99869,0.20701,0.36891,0.6679,0.56538,False
54,0.68425,0.57948,0.55814,0.94186,0.56542,0.99914,0.19216,0.39527,0.66203,0.56034,False
55,0.65927,0.55771,0.5566,0.9434,0.68102,0.99952,0.10642,0.38513,0.62825,0.53118,False
56,0.66361,0.56709,0.5599,0.9401,0.76334,0.9997,0.11613,0.41106,0.63137,0.53448,False
57,0.64986,0.55501,0.56076,0.93924,0.81901,0.99975,0.07081,0.40485,0.61305,0.51908,False
58,0.65949,0.56922,0.56752,0.93248,0.87133,0.99989,0.10117,0.43362,0.62355,0.5294,False
59,0.64887,0.56139,0.56865,0.93135,0.94207,0.99983,0.06467,0.43522,0.60865,0.51699,False
60,0.66109,0.57839,0.57436,0.92564,0.99653,0.99986,0.10219,0.46743,0.62224,0.52974,False
61,0.68276,0.60264,0.58302,0.91698,0.98017,0.99974,0.17566,0.499,0.64942,0.55472,False
62,0.67483,0.59031,0.58283,0.91717,0.90593,0.99931,0.15681,0.4719,0.64178,0.54832,False
63,0.69734,0.61133,0.58813,0.91187,0.81819,0.99922,0.23539,0.48691,0.67185,0.57503,False
64,0.68453,0.59419,0.59159,0.90841,0.74667,0.99965,0.20311,0.45555,0.65823,0.56406,False
65,0.67649,0.58377,0.59236,0.90764,0.711,0.99955,0.18163,0.43719,0.6494,0.55675,False
66,0.63533,0.53581,0.5882,0.9118,0.66313,0.99931,0.05644,0.36764,0.60028,0.51419,False
67,0.6673,0.56797,0.59604,0.90396,0.58511,0.9996,0.16468,0.3992,0.64172,0.55099,False
68,0.62394,0.51622,0.59437,0.90563,0.50265,0.99959,0.03665,0.32046,0.59092,0.50746,False
69,0.621,0.50969,0.58808,0.91192,0.45542,0.99927,0.02688,0.30237,0.58847,0.50414,False
70,0.60907,0.49406,0.59623,0.90377,0.38017,0.99978,0.00071,0.27423,0.57615,0.49524,False
71,0.62646,0.51083,0.59217,0.90783,0.34816,0.99953,0.05352,0.28877,0.5982,0.5132,False
72,0.63763,0.51924,0.58863,0.91137,0.28425,0.99949,0.08967,0.288,0.61353,0.52549,False
73,0.64564,0.52203,0.58508,0.91492,0.17757,0.99951,0.11903,0.27348,0.62617,0.53547,False
74,0.61565,0.48318,0.59325,0.90675,0.03216,0.99991,0.04258,0.20518,0.59369,0.50948,False
75,0.60482,0.47016,0.59333,0.90667,0.00842,0.99999,0.0111,0.1851,0.5811,0.49877,False
76,0.63417,0.50807,0.59853,0.90147,0.10588,0.99943,0.09823,0.25023,0.61446,0.5284,False
77,0.66863,0.55176,0.60066,0.89934,0.21666,0.9988,0.19803,0.32348,0.65362,0.56233,False
78,0.65381,0.53679,0.59656,0.90344,0.25786,0.99972,0.14619,0.30922,0.63424,0.5447,False
79,0.68158,0.57186,0.59575,0.90425,0.35229,0.99919,0.22454,0.36784,0.66559,0.57134,False
80,0.6882,0.58257,0.59254,0.90746,0.43321,0.99951,0.23669,0.39258,0.67137,0.57548,False
81,0.7019,0.60553,0.59023,0.90977,0.59665,0.99893,0.26629,0.44606,0.68358,0.58554,False
82,0.69249,0.59979,0.59421,0.90579,0.67761,0.99977,0.2339,0.45292,0.66993,0.57453,False
83,0.67933,0.58972,0.59555,0.90445,0.75823,0.99974,0.18907,0.4533,0.65165,0.55928,False
84,0.66864,0.58164,0.59625,0.90375,0.82594,0.99952,0.15244,0.45396,0.63675,0.54683,False
85,0.66935,0.58533,0.6024,0.8976,0.86578,0.99987,0.15577,0.46726,0.63666,0.54796,False
86,0.66077,0.57992,0.60412,0.89588,0.93835,0.99978,0.12582,0.47244,0.62422,0.53778,False
87,0.64649,0.56731,0.60503,0.89497,0.99435,0.99976,0.07895,0.46562,0.60524,0.52184,False
88,0.65263,0.57418,0.61146,0.88854,0.97796,0.99992,0.10313,0.47434,0.61336,0.53006,False
89,0.66118,0.58045,0.61663,0.88337,0.89919,0.9996,0.13856,0.47214,0.62613,0.54211,False
90,0.67795,0.59564,0.62141,0.87859,0.82119,0.99938,0.19869,0.48113,0.64891,0.56255,False
91,0.66073,0.57285,0.62449,0.87551,0.73425,0.99986,0.15371,0.44008,0.63031,0.54726,False
92,0.66311,0.57389,0.62827,0.87173,0.69108,0.99981,0.1666,0.43622,0.63451,0.55164,False
93,0.66147,0.57029,0.63096,0.86904,0.64647,0.99977,0.16655,0.42585,0.6338,0.55163,False
94,0.62616,0.52857,0.62461,0.87539,0.602,0.99939,0.05764,0.36382,0.59169,0.5146,False
95,0.62305,0.52048,0.62909,0.87091,0.49613,0.99975,0.05818,0.33894,0.59091,0.51478,False
96,0.61037,0.50314,0.62875,0.87125,0.42784,0.99973,0.02387,0.30633,0.57727,0.50312,False
97,0.60394,0.49372,0.62754,0.87246,0.38373,0.9997,0.00647,0.2871,0.5706,0.4972,False
98,0.63127,0.52102,0.61784,0.88216,0.36271,0.99926,0.08518,0.31436,0.60435,0.52396,False
99,0.64109,0.52779,0.61417,0.88583,0.29636,0.99931,0.11719,0.31108,0.61809,0.53485,False
100,0.6426,0.52377,0.61351,0.88649,0.18651,0.99939,0.12883,0.28865,0.62294,0.5388,False
101,0.64379,0.5171,0.60767,0.89233,0.0485,0.99968,0.13767,0.25638,0.62804,0.54181,False
102,0.59774,0.46759,0.62538,0.87462,0.00792,0.99992,0.01166,0.19484,0.57329,0.49896,False
103,0.62784,0.50676,0.63273,0.86727,0.10639,0.99921,0.10264,0.2626,0.6076,0.5299,False
104,0.63652,0.52015,0.63016,0.86984,0.1926,0.99931,0.12139,0.29182,0.61578,0.53627,False
105,0.65887,0.54891,0.63169,0.86831,0.27359,0.99912,0.18536,0.34132,0.64091,0.55802,False
106,0.68547,0.582,0.62757,0.87243,0.36533,0.99872,0.25791,0.39566,0.67082,0.58269,False
107,0.67628,0.57503,0.62566,0.87434,0.43528,0.99939,0.22306,0.3969,0.6576,0.57084,False
108,0.66939,0.57279,0.6263,0.8737,0.53992,0.99981,0.19483,0.41054,0.64629,0.56124,False
109,0.66805,0.57813,0.6255,0.8745,0.67644,0.99963,0.18098,0.4382,0.64089,0.55653,False
110,0.67553,0.59004,0.62885,0.87115,0.74079,0.9998,0.20155,0.46455,0.64834,0.56353,False
111,0.64846,0.56411,0.62479,0.87521,0.82333,0.99938,0.11073,0.4431,0.61288,0.53265,False
112,0.66275,0.58326,0.63056,0.86944,0.87646,0.99961,0.15454,0.47782,0.62904,0.54754,False
113,0.66158,0.58567,0.63378,0.86622,0.93981,0.99974,0.14869,0.49199,0.62594,0.54555,False
114,0.66243,0.59027,0.64097,0.85903,0.99088,1.0,0.15249,0.50863,0.62575,0.54685,False
115,0.6863,0.61759,0.64877,0.85123,0.9891,0.99955,0.23137,0.54602,0.6552,0.57367,False
116,0.68255,0.60997,0.6517,0.8483,0.90999,0.99957,0.22734,0.52531,0.65286,0.5723,False
117,0.67339,0.59568,0.65466,0.84534,0.81615,0.99973,0.20768,0.49389,0.64432,0.56561,False
118,0.66638,0.58477,0.65787,0.84213,0.74181,0.99986,0.19347,0.46987,0.63787,0.56078,False
119,0.67404,0.59202,0.66068,0.83932,0.70984,0.99964,0.22124,0.47522,0.6482,0.57022,False
120,0.67113,0.58648,0.66346,0.83654,0.65436,0.99971,0.218,0.46072,0.64623,0.56912,False
121,0.6657,0.57669,0.66449,0.83551,0.57429,0.99966,0.20767,0.43637,0.64183,0.56561,False
122,0.64371,0.54732,0.66739,0.83261,0.45952,0.99986,0.15013,0.38265,0.61816,0.54604,False
123,0.63766,0.53661,0.67022,0.82978,0.36926,0.99988,0.13978,0.35628,0.61332,0.54252,False
124,0.62813,0.52397,0.66984,0.83016,0.32582,0.99985,0.1134,0.33344,0.60285,0.53356,False
125,0.6115,0.50446,0.65311,0.84689,0.34651,0.99857,0.05081,0.30542,0.58155,0.51228,False
126,0.62701,0.51738,0.6467,0.8533,0.28779,0.99864,0.09779,0.30996,0.60197,0.52825,False
127,0.59006,0.47197,0.66495,0.83505,0.13443,0.99989,0.00679,0.23615,0.56144,0.49731,False
128,0.58693,0.46191,0.65882,0.84118,0.02216,0.99984,0.00073,0.20352,0.56053,0.49525,False
129,0.60409,0.48102,0.66294,0.83706,0.01712,0.99997,0.05627,0.22848,0.58176,0.51413,False
130,0.65845,0.54763,0.66493,0.83507,0.14989,0.99886,0.21577,0.33405,0.64467,0.56836,False
131,0.68512,0.58206,0.66286,0.83714,0.26104,0.99867,0.28841,0.3939,0.67418,0.59306,False
132,0.668,0.56507,0.66298,0.83702,0.29895,0.9997,0.23258,0.37829,0.65218,0.57408,False
133,0.69063,0.59345,0.65906,0.84094,0.38336,0.99942,0.29349,0.42563,0.67743,0.59479,False
134,0.68425,0.58944,0.65774,0.84226,0.44749,0.99971,0.26839,0.42997,0.66782,0.58625,False
135,0.67706,0.58761,0.65495,0.84505,0.57397,0.99935,0.23614,0.44624,0.65549,0.57529,False
136,0.66793,0.58222,0.65871,0.84129,0.65515,0.99988,0.20472,0.45352,0.64217,0.5646,False
137,0.66407,0.58304,0.65514,0.84486,0.76379,0.99933,0.18351,0.47007,0.63438,0.55739,False
138,0.66639,0.58803,0.66169,0.83831,0.79392,0.99985,0.19256,0.48364,0.63655,0.56047,False
139,0.68894,0.61611,0.65842,0.84158,0.87038,0.99923,0.25455,0.52967,0.66195,0.58155,False
140,0.663,0.59183,0.66634,0.83366,0.9279,0.99984,0.17618,0.51116,0.62883,0.5549,False
141,0.66657,0.59934,0.66915,0.83085,0.99073,0.9999,0.18467,0.53153,0.63155,0.55779,False
142,0.68335,0.61893,0.67853,0.82147,0.98579,0.99986,0.24281,0.55927,0.65244,0.57756,False
143,0.69524,0.62961,0.67925,0.82075,0.93329,0.99883,0.28424,0.565,0.66847,0.59164,False
144,0.66784,0.59514,0.68436,0.81564,0.83009,0.99963,0.21034,0.50749,0.63792,0.56652,False
